Book,Page,Chapter No,Chapter Name,POV,Character,Title,Forename,Surname,Old Surname,Alias,Regnal No,Gender,Status
A Game of Thrones,409,39,Eddard X,Eddard Stark,Ser Mark Ryswell,Ser,Mark,Ryswell,,,,M,D
A Game of Thrones,409,39,Eddard X,Eddard Stark,Lord Willam Dustin,Lord,Willam,Dustin,,,,M,D
A Game of Thrones,409,39,Eddard X,Eddard Stark,Ser Oswell Whent,Ser,Oswell,Whent,,,,M,D
A Game of Thrones,416,40,Catelyn VII,Catelyn Tully,Alyssa Arryn,,Alyssa,Arryn,,,,F,D
A Game of Thrones,416,40,Catelyn VII,Catelyn Tully,Lord Vance,Lord,?,Vance,,,,M,D
A Game of Thrones,416,40,Catelyn VII,Catelyn Tully,Lord Clement Piper,Lord,Clement,Piper,,,,M,A
A Game of Thrones,420,40,Catelyn VII,Catelyn Tully,Ser Morton Waynwood,Ser,Morton,Waynwood,,,,M,A
A Game of Thrones,429,41,Jon V,Jon Snow,Gueren,,Gueren,,,,,M,A
A Game of Thrones,430,41,Jon V,Jon Snow,Matthar; Ser Loon,,Matthar,,,Ser Loon,,M,A
A Game of Thrones,430,41,Jon V,Jon Snow,Hobb; Three-finger,,Hobb,,,Three-finger,,M,A
A Game of Thrones,432,41,Jon V,Jon Snow,Cuger,,Cuger,,,,,M,A
A Game of Thrones,433,41,Jon V,Jon Snow,Clydas,,Clydas,,,,,M,A
A Game of Thrones,433,41,Jon V,Jon Snow,Chett,,Chett,,,,,M,D
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Gunthor; Son of Gurn,,Gunthor,,,Son of Gurn,,M,A
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Gurn,,Gurn,,,,,M,U
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Shagga; Son of Dolf,,Shagga,,,Son of Dolf,,M,A
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Dolf,,Dolf,,,,,M,U
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Conn; Son of Coratt,,Conn,,,Son of Coratt,,M,D
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Coratt,,Coratt,,,,,M,U
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Torrek,,Torrek,,,,,M,A
A Game of Thrones,444,42,Tyrion VI,Tyrion Lannister,Jaggot,,Jaggot,,,,,M,A
